Sharpe_Ratio,CAGR,Drawdown
,0.0,0.0022896026709619327
,0.24316117465129516,0.005644187673739771
,-0.6993346999750842,0.003965060345083239
,-0.6386506737575592,-0.011101920556977753
,-0.38143165303779936,-0.011101653880261023
,-0.5381137828333116,-0.0064370868520903365
,-0.6583396625657336,-0.02150371280855921
,-0.3925439834309138,-0.016092797322572988
,-0.4543229311270459,-0.018285234118164493
,-0.6208633396475289,-0.012967636949300736
,0.11626987409325173,0.0006975606239786916
,-0.20142470435475035,0.0023717105893867464
,-0.4205311244240719,-0.008044989364894393
,-0.7588512245929494,-0.03506304202196326
,-0.585851713361222,-0.0480842010661246
,-0.4541401901377772,-0.0061846082165851225
,-0.3500095827075381,-0.02074036035854002
,-0.6312601777170075,-0.04436377184361084
,-0.7619484606036041,-0.05970950625856963
,-0.695641769962146,-0.0885415772532541
,-0.6547454135071884,-0.08705360879804865
,-0.5594453573127027,-0.06901044255730257
,-0.6946294999697261,-0.07752048185301867
,-0.6140328044795208,-0.08854152436852808
,-0.6259123484536766,-0.07979896830722752
,-0.5694286399246506,-0.08156632443330168
,-0.5778830846864704,-0.08575119104156242
,-0.4879826360299754,-0.07110279494867801
,-0.43551498679211087,-0.06231390676762373
,-0.34761690530392353,-0.05278063217937117
-1.2158525402758003,-0.3607047354496341,-0.04989766973241718
-1.2121078374154794,-0.34206257001012463,-0.05185042522394183
-0.9759993718831818,-0.36461533405207225,-0.05505952812294309
-1.0848788603933106,-0.38508314095544904,-0.058314686921874886
-1.6659177192154784,-0.4479427776092971,-0.06375541575553687
-0.9730743166596368,-0.3629290535952594,-0.063243855420322
-0.5271411043813988,-0.325212533579355,-0.05664044849751265
-0.5559837368678268,-0.25736231697159184,-0.04589844805741902
0.11620315014945064,-0.1421906264271089,-0.025762689412529086
0.513617863586253,-0.14252269026271158,-0.01957773108084835
-0.565105637161163,-0.12706957831687693,-0.024041770761925433
0.022740787572722153,-0.08902576052555367,-0.019159301747885313
1.4702222903409556,0.14309606729628888,0.0034254569491517072
3.1290272098242435,0.14350597319727632,0.0046101105893898734
2.9214966862668748,0.25978064991693106,0.008878091090083902
2.7586220505646697,0.3105457970101042,0.0028465338450474292
2.571139048754869,0.3236611545434189,0.0
4.480189711691686,0.35000597503028774,0.004986698053352989
5.913596408103252,0.2598078645288422,-0.004854543433540847
5.526781130690073,0.27132217876413156,-0.007148962182761812
5.232592510412362,0.25618554645354297,-0.0006619113595634172
4.737709437572948,0.26508549940436477,-0.0070609409934072375
6.633818948816058,0.19678021976060545,-0.006001572263867699
6.443430593600275,0.2567233440091674,-0.0026477577447157575
7.506289441499777,0.34630423122679166,0.0018392434136750054
7.246989859138775,0.36603256115453986,0.003618632060919308
6.801039475537896,0.2887828433798032,0.006975814475419706
6.8134599812460035,0.39102711091872266,0.004547353257913003
6.726148123879827,0.4217955527756776,0.006368635587188834
6.72099222389236,0.5039985408212937,0.006911274197894574
6.755239967079446,0.4718537545095389,0.0032228536846338304
6.86385129369366,0.48740142339081927,0.011696330625513104
7.722719283116512,0.5422142731160702,8.386287870691436e-05
8.357005502666135,0.5585354416083972,0.002922222985211193
10.068452262172508,0.5746597378934988,0.005486298736640805
9.105132726308451,0.5477937974043001,0.003906834886449447
9.151799197376778,0.5825594471885405,0.0004137019499432426
8.651577230542268,0.583989079375568,0.003219246088053965
